Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount,Customer_ID,age_range,HolidayName,Month_name,jan_dummy,feb_dummy,mar_dummy,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,nov_dummy,dec_dummy,spend_3m,QTY_3m,spend_12m,QTY_12m,dummy_under_20,dummy_20_29,dummy_30_39,dummy_40_49,dummy_50_59,dummy_60_plus,gender_dummy,HolidayDummy,Max_Temp,Min_Temp,Mean_Temp,Total_Precip_mm,Product_Category
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,CUST001,30-39,Black Friday Sale,11,0,0,0,0,0,0,0,0,0,0,1,0,150,3,150,3,0,0,1,0,0,0,1,1,1.6,-2.3,-0.3,0,Beauty
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,CUST002,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1000,2,1000,2,0,1,0,0,0,0,0,0,0.8,-5.4,-2.3,7.2,Clothing
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,CUST003,50-59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,1,30,1,0,0,0,0,1,0,1,0,-0.1,-8.8,-4.5,2.5,Electronics
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,CUST004,30-39,0,5,0,0,0,0,1,0,0,0,0,0,0,0,500,1,500,1,0,0,1,0,0,0,1,0,24.3,10.7,17.5,0,Clothing
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,CUST005,30-39,0,5,0,0,0,0,1,0,0,0,0,0,0,0,100,2,100,2,0,0,1,0,0,0,1,0,18.6,7.2,12.9,0,Beauty
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,CUST006,40-49,0,4,0,0,0,1,0,0,0,0,0,0,0,0,30,1,30,1,0,0,0,1,0,0,0,0,11,3.8,7.4,0,Beauty
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,CUST007,40-49,0,3,0,0,1,0,0,0,0,0,0,0,0,0,50,2,50,2,0,0,0,1,0,0,1,0,2,-2.3,-0.1,0.5,Clothing
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,CUST008,30-39,0,2,0,1,0,0,0,0,0,0,0,0,0,0,100,4,100,4,0,0,1,0,0,0,1,0,-0.3,-6.7,-3.5,17.7,Electronics
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,CUST009,60+,0,12,0,0,0,0,0,0,0,0,0,0,0,1,600,2,600,2,0,0,0,0,0,1,1,0,3.6,-1.4,1.1,0,Electronics
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,CUST010,50-59,0,10,0,0,0,0,0,0,0,0,0,1,0,0,200,4,200,4,0,0,0,0,1,0,0,0,15.6,9.3,12.5,0,Clothing
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,CUST011,20-29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,100,2,100,2,0,1,0,0,0,0,1,0,8.5,-0.4,4,0,Clothing
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,CUST012,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,75,3,75,3,0,0,1,0,0,0,1,0,7.9,1,4.4,2.2,Beauty
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,CUST013,20-29,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1500,3,1500,3,0,1,0,0,0,0,1,0,24.2,18.4,21.3,0,Electronics
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,CUST014,60+,0,1,1,0,0,0,0,0,0,0,0,0,0,0,120,4,120,4,0,0,0,0,0,1,1,0,5.3,1.7,3.5,4,Clothing
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,CUST015,40-49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2000,4,2000,4,0,0,0,1,0,0,0,0,1.8,-5.1,-1.7,0.1,Electronics
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,CUST016,Under 20,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1500,3,1500,3,1,0,0,0,0,0,1,0,1,-7.9,-3.5,5.7,Clothing
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,CUST017,20-29,0,4,0,0,0,1,0,0,0,0,0,0,0,0,100,4,100,4,0,1,0,0,0,0,0,0,11.8,7.5,9.7,16.9,Clothing
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,CUST018,40-49,0,4,0,0,0,1,0,0,0,0,0,0,0,0,50,2,50,2,0,0,0,1,0,0,0,0,11,7.4,9.2,12.2,Electronics
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,CUST019,60+,0,9,0,0,0,0,0,0,0,0,1,0,0,0,50,2,50,2,0,0,0,0,0,1,0,0,23.4,11.9,17.7,0,Clothing
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,CUST020,20-29,0,11,0,0,0,0,0,0,0,0,0,0,1,0,900,3,900,3,0,1,0,0,0,0,1,0,10.3,4.1,7.2,0,Clothing
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,CUST021,50-59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,500,1,500,1,0,0,0,0,1,0,0,0,-3.2,-9.4,-6.3,0,Beauty
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,CUST022,Under 20,0,10,0,0,0,0,0,0,0,0,0,1,0,0,100,2,100,2,1,0,0,0,0,0,1,0,11.3,8,9.6,0,Clothing
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,CUST023,30-39,0,4,0,0,0,1,0,0,0,0,0,0,0,0,120,4,120,4,0,0,1,0,0,0,0,0,27.4,13,20.2,0,Clothing
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,CUST024,40-49,0,11,0,0,0,0,0,0,0,0,0,0,1,0,300,1,300,1,0,0,0,1,0,0,0,0,1,-3.6,-1.3,0,Clothing
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,CUST025,60+,Boxing Day,12,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1,0,0,0,0,0,1,0,1,7.8,5.6,6.7,0.9,Beauty
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,CUST026,20-29,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1000,2,1000,2,0,1,0,0,0,0,0,0,15.6,9.3,12.5,0,Electronics
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,CUST027,30-39,0,8,0,0,0,0,0,0,0,1,0,0,0,0,50,2,50,2,0,0,1,0,0,0,0,0,28.5,18.5,23.5,5.8,Beauty
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,CUST028,40-49,0,4,0,0,0,1,0,0,0,0,0,0,0,0,500,1,500,1,0,0,0,1,0,0,0,0,8.9,5.7,7.3,0,Beauty
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,CUST029,40-49,0,8,0,0,0,0,0,0,0,1,0,0,0,0,30,1,30,1,0,0,0,1,0,0,0,0,20.8,14.8,17.8,0,Electronics
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,CUST030,30-39,0,10,0,0,0,0,0,0,0,0,0,1,0,0,900,3,900,3,0,0,1,0,0,0,0,0,7.8,3.8,5.8,1.9,Beauty
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,CUST031,40-49,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1200,4,1200,4,0,0,0,1,0,0,1,0,19.5,10,14.8,0,Electronics
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,CUST032,30-39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,90,3,90,3,0,0,1,0,0,0,1,0,4.4,2.5,3.5,21.1,Beauty
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,CUST033,50-59,0,3,0,0,1,0,0,0,0,0,0,0,0,0,100,2,100,2,0,0,0,0,1,0,0,0,8.9,0.3,4.6,9.5,Electronics
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,CUST034,50-59,0,12,0,0,0,0,0,0,0,0,0,0,0,1,150,3,150,3,0,0,0,0,1,0,0,0,5.3,3.6,4.5,0,Clothing
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,CUST035,50-59,0,8,0,0,0,0,0,0,0,1,0,0,0,0,900,3,900,3,0,0,0,0,1,0,0,0,24.2,18.4,21.3,0,Beauty
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,CUST036,50-59,0,6,0,0,0,0,0,1,0,0,0,0,0,0,900,3,900,3,0,0,0,0,1,0,1,0,28,20,24,0.1,Beauty
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,CUST037,Under 20,0,5,0,0,0,0,1,0,0,0,0,0,0,0,75,3,75,3,1,0,0,0,0,0,0,0,19.5,10,14.8,0,Beauty
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,CUST038,30-39,0,3,0,0,1,0,0,0,0,0,0,0,0,0,200,4,200,4,0,0,1,0,0,0,1,0,9.8,4.2,7,0,Beauty
